,logg,Teff,Z,aLSM,bLSM
0,3.5,4000,-5.0,0.014610186507991417,0.1349676852153464
1,3.5,4250,-5.0,0.02394936144815504,0.1513131929731287
2,4.0,4250,-5.0,0.016761575397850115,0.1374021109853721
3,3.5,4500,-5.0,0.03962738352316403,0.19490078348216786
4,4.0,4500,-5.0,0.03246947560836355,0.16714834813918023
5,3.5,4750,-5.0,0.03627372032787323,0.2289018933976865
6,4.0,4750,-5.0,0.03848282680600871,0.1939407095088302
7,4.5,4750,-5.0,0.03251806720057762,0.17004684624494654
8,3.5,5000,-5.0,0.07430128869012032,0.1868813365508
9,4.0,5000,-5.0,0.06185155715345487,0.18971143264890925
10,4.5,5000,-5.0,0.05162560149269298,0.1831370731004595
11,5.0,5000,-5.0,0.040436229149885566,0.17553959803112418
12,3.5,5250,-5.0,0.07751390533397765,0.18656328291860172
13,4.0,5250,-5.0,0.06824437586502713,0.187791971093159
14,4.5,5250,-5.0,0.059550270706118805,0.18626738116721125
15,5.0,5250,-5.0,0.0352741892589078,0.20251087543906174
16,3.5,5500,-5.0,0.07447905264446937,0.19144171418375464
17,4.0,5500,-5.0,0.06831888462299641,0.1929393442816183
18,4.5,5500,-5.0,0.06393501583021302,0.1894425826577502
19,5.0,5500,-5.0,0.056234879938315996,0.1873779723017059
20,3.5,5750,-5.0,0.06954859812153251,0.1965044248246977
21,4.0,5750,-5.0,0.06599831909066073,0.19686458159897569
22,4.5,5750,-5.0,0.06275133398424484,0.1945901338404003
23,5.0,5750,-5.0,0.05747631225056713,0.19134501214134556
24,3.5,6000,-5.0,0.06128897183426671,0.20153773261868652
25,4.0,6000,-5.0,0.058362209056622275,0.20468102485033318
26,4.5,6000,-5.0,0.05774479616631517,0.20273749816112716
27,5.0,6000,-5.0,0.05599668106766806,0.19852100636090056
28,3.5,6250,-5.0,0.05500500345623352,0.20455790517429767
29,4.0,6250,-5.0,0.05336490352191809,0.2083507336204722
30,4.5,6250,-5.0,0.05294833828375044,0.20872940441058324
31,5.0,6250,-5.0,0.05313310276471983,0.20360632009878898
32,3.5,6500,-5.0,0.0453828857832237,0.20737808972475544
33,4.0,6500,-5.0,0.04598363649663506,0.2114775277197546
34,4.5,6500,-5.0,0.04720675827583359,0.2120320795166897
35,5.0,6500,-5.0,0.04835069665589048,0.20954009808072183
36,3.5,6750,-5.0,0.039197764676245465,0.2083283678707475
37,4.0,6750,-5.0,0.041320241088914536,0.2116544074147871
38,4.5,6750,-5.0,0.043638134513521165,0.21276678494294377
39,5.0,6750,-5.0,0.04556535818179168,0.21170110350705007
40,3.5,7000,-5.0,0.03190599426306105,0.20785873228763568
41,4.0,7000,-5.0,0.035488561346382216,0.21001803217581289
42,4.5,7000,-5.0,0.03901091760333249,0.21134253887783136
43,5.0,7000,-5.0,0.041903957183415795,0.21114207320878914
44,3.5,7250,-5.0,0.03061716337350343,0.205534883864056
45,4.0,7250,-5.0,0.033129550665398355,0.20724814459930918
46,4.5,7250,-5.0,0.036535694694297564,0.2089051822352195
47,5.0,7250,-5.0,0.0398600697175351,0.20952483609532602
48,3.5,7500,-5.0,0.02609918842580703,0.19286515996032275
49,4.0,7500,-5.0,0.032506641858063616,0.20091819015840182
50,4.5,7500,-5.0,0.034334838291373404,0.20343783364099902
51,5.0,7500,-5.0,0.03728499746104985,0.20500856045718915
52,3.5,7750,-5.0,0.04156473779824741,0.18066470876242927
53,4.0,7750,-5.0,0.03004621438646574,0.19428787918175147
54,4.5,7750,-5.0,0.03460448537764251,0.19838268279736854
55,5.0,7750,-5.0,0.0365974519754122,0.20068831873733195
56,3.5,8000,-5.0,0.07853748041859002,0.14023453737093172
57,4.0,8000,-5.0,0.04377936552441206,0.17691389345207686
58,4.5,8000,-5.0,0.03430805439163392,0.1884039813087719
59,5.0,8000,-5.0,0.037420351005383136,0.19221610643917866
60,3.5,8250,-5.0,0.08145378048523401,0.12597369719695178
61,4.0,8250,-5.0,0.06912616833332584,0.14699929670801334
62,4.5,8250,-5.0,0.03962646742392744,0.17873265668016192
63,5.0,8250,-5.0,0.04014277307667071,0.18443863144540096
64,3.5,8500,-5.0,0.07698703463828811,0.12102342169893476
65,4.0,8500,-5.0,0.07968847103797516,0.11936005222165696
66,4.5,8500,-5.0,0.07169220153947539,0.1384813335965501
67,5.0,8500,-5.0,0.04142744077575733,0.1722882282194903
68,3.5,8750,-5.0,0.07481271171697737,0.11860483724186667
69,4.0,8750,-5.0,0.07624373767969679,0.11626746700693011
70,4.5,8750,-5.0,0.08002958168801133,0.11749916364101366
71,5.0,8750,-5.0,0.06541639418126152,0.14455452416296222
72,3.5,9000,-5.0,0.07218083533658141,0.11534199090497238
73,4.0,9000,-5.0,0.0731374555375948,0.11253172080424667
74,4.5,9000,-5.0,0.07425081055751034,0.11140169594747039
75,5.0,9000,-5.0,0.07829286506121556,0.11422290383988609
76,3.5,9250,-5.0,0.07218083533658141,0.11534199090497238
77,4.0,9250,-5.0,0.0731374555375948,0.11253172080424667
78,4.5,9250,-5.0,0.07425081055751034,0.11140169594747039
79,5.0,9250,-5.0,0.07829286506121556,0.11422290383988609
80,3.5,9500,-5.0,0.07218083533658141,0.11534199090497238
81,4.0,9500,-5.0,0.0731374555375948,0.11253172080424667
82,4.5,9500,-5.0,0.07425081055751034,0.11140169594747039
83,5.0,9500,-5.0,0.07829286506121556,0.11422290383988609
84,3.5,9750,-5.0,0.07218083533658141,0.11534199090497238
85,4.0,9750,-5.0,0.0731374555375948,0.11253172080424667
86,4.5,9750,-5.0,0.07425081055751034,0.11140169594747039
87,5.0,9750,-5.0,0.07829286506121556,0.11422290383988609
88,3.5,10000,-5.0,0.07218083533658141,0.11534199090497238
89,4.0,10000,-5.0,0.0731374555375948,0.11253172080424667
90,4.5,10000,-5.0,0.07425081055751034,0.11140169594747039
91,5.0,10000,-5.0,0.07829286506121556,0.11422290383988609
92,3.5,3750,-4.5,0.0029948503508581137,0.16481209335482683
93,3.5,4000,-4.5,0.014005548317513883,0.13843051638386827
94,4.0,4000,-4.5,0.011502012087420965,0.13528062400248198
95,3.5,4250,-4.5,0.02419840634384096,0.15219289750396703
96,4.0,4250,-4.5,0.017425672536436912,0.1384325138612871
97,4.5,4250,-4.5,0.01342265963668698,0.13389545432398056
98,3.5,4500,-4.5,0.03921140369723678,0.19590696311339573
99,4.0,4500,-4.5,0.032156615508597386,0.16814419058657143
100,4.5,4500,-4.5,0.023939676057893638,0.14997905665118885
101,5.0,4500,-4.5,0.01844066941429736,0.1382197320047827
102,3.5,4750,-4.5,0.03566798786428259,0.23004131106448025
103,4.0,4750,-4.5,0.037803225855379576,0.19497785878870091
104,4.5,4750,-4.5,0.03300726088117523,0.170027951331443
105,5.0,4750,-4.5,0.02511494528183035,0.15327663242361192
106,3.5,5000,-4.5,0.07440663653551428,0.18706414526545576
107,4.0,5000,-4.5,0.06270228775154106,0.1886419814043485
108,4.5,5000,-4.5,0.05122896461697414,0.18272082755636157
109,5.0,5000,-4.5,0.03405904535843801,0.1826900419375367
110,3.5,5250,-4.5,0.07717216684565666,0.18705629895013676
111,4.0,5250,-4.5,0.06727144057101052,0.1890690715754837
112,4.5,5250,-4.5,0.05956661952219185,0.1865104203475231
113,5.0,5250,-4.5,0.03521411197740398,0.2027078787864398
114,3.5,5500,-4.5,0.0745091580786047,0.1914813053174023
115,4.0,5500,-4.5,0.06790608033108327,0.19301570814301106
116,4.5,5500,-4.5,0.06403260107062034,0.1895392251163363
117,5.0,5500,-4.5,0.05659823281316531,0.18698203063187457
118,3.5,5750,-4.5,0.06965433897287424,0.1965840656571125
119,4.0,5750,-4.5,0.06581334299266946,0.19719798164706226
120,4.5,5750,-4.5,0.06337509067844986,0.19387558413019584
121,5.0,5750,-4.5,0.05774708451244602,0.19123606636504528
122,3.5,6000,-4.5,0.06093553321666258,0.20206549783401645
123,4.0,6000,-4.5,0.05830242799172136,0.20466234100464276
124,4.5,6000,-4.5,0.05712424289999814,0.20326005548439058
125,5.0,6000,-4.5,0.05640883711168007,0.19815439659808295
126,3.5,6250,-4.5,0.05500712904994421,0.20454217408698153
127,4.0,6250,-4.5,0.05354257193956237,0.20818249553501256
128,4.5,6250,-4.5,0.05273751088884778,0.2090536888779889
129,5.0,6250,-4.5,0.05302619678905083,0.2039220411146549
130,3.5,6500,-4.5,0.045404341004893045,0.20732927399138024
131,4.0,6500,-4.5,0.04597638072219157,0.21119615299359462
132,4.5,6500,-4.5,0.04747548683355496,0.21172854173104505
133,5.0,6500,-4.5,0.04853413469664351,0.20933671515344923
134,3.5,6750,-4.5,0.039223376352050754,0.2082333968063036
135,4.0,6750,-4.5,0.04135483573517114,0.21156252621554503
136,4.5,6750,-4.5,0.0436177213937841,0.21276396948502269
137,5.0,6750,-4.5,0.04578750376994303,0.211245565501082
138,3.5,7000,-4.5,0.03195998538303775,0.20775144887411184
139,4.0,7000,-4.5,0.03553616179645902,0.20991269376965627
140,4.5,7000,-4.5,0.03906577700832911,0.2112374689557191
141,5.0,7000,-4.5,0.041944119364674404,0.21099898165454806
142,3.5,7250,-4.5,0.030674464750820103,0.2054500585024569
143,4.0,7250,-4.5,0.033084157858839794,0.20724659158589182
144,4.5,7250,-4.5,0.036599255389805296,0.2087797906051108
145,5.0,7250,-4.5,0.0399470716631888,0.2092210830564013
146,3.5,7500,-4.5,0.02627631619958537,0.1935325822604098
147,4.0,7500,-4.5,0.032547615354047044,0.20081440133727202
148,4.5,7500,-4.5,0.03439610577568109,0.20327748484855923
149,5.0,7500,-4.5,0.03736956850413972,0.20484992966486135
150,3.5,7750,-4.5,0.04161934644748061,0.18045504401213663
151,4.0,7750,-4.5,0.03007077034196734,0.19422408321504547
152,4.5,7750,-4.5,0.03467205191476702,0.1982544994086401
153,5.0,7750,-4.5,0.03659565626750765,0.20056755213910318
154,3.5,8000,-4.5,0.07857791022999742,0.14011788433139527
155,4.0,8000,-4.5,0.043920661981652155,0.17673250053532952
156,4.5,8000,-4.5,0.03435553384519663,0.18830632049811857
157,5.0,8000,-4.5,0.03748107101163424,0.1920805939320642
158,3.5,8250,-4.5,0.08141773230936418,0.125952235382279
159,4.0,8250,-4.5,0.06922402827304333,0.14682881702736927
160,4.5,8250,-4.5,0.03942526495402462,0.17872389757110285
161,5.0,8250,-4.5,0.04020943313831429,0.18429168243353436
162,3.5,8500,-4.5,0.07696345718413902,0.12100833849244415
163,4.0,8500,-4.5,0.07965859771879363,0.11932732419955307
164,4.5,8500,-4.5,0.0717180124515007,0.13836311855558076
165,5.0,8500,-4.5,0.041480376963423944,0.1721624803950384
166,3.5,8750,-4.5,0.07478417203419194,0.11858744696639287
167,4.0,8750,-4.5,0.07622557478389735,0.11623411898175032
168,4.5,8750,-4.5,0.08002865826465981,0.11741060032015857
169,5.0,8750,-4.5,0.06550685261311431,0.14438071167951508
170,3.5,9000,-4.5,0.07215985240185416,0.11529759559904851
171,4.0,9000,-4.5,0.07311688003330502,0.11249826359329325
172,4.5,9000,-4.5,0.07423588129328026,0.11136655552920448
173,5.0,9000,-4.5,0.07829478776206358,0.11414165020751646
174,3.5,9250,-4.5,0.07215985240185416,0.11529759559904851
175,4.0,9250,-4.5,0.07311688003330502,0.11249826359329325
176,4.5,9250,-4.5,0.07423588129328026,0.11136655552920448
177,5.0,9250,-4.5,0.07829478776206358,0.11414165020751646
178,3.5,9500,-4.5,0.07215985240185416,0.11529759559904851
179,4.0,9500,-4.5,0.07311688003330502,0.11249826359329325
180,4.5,9500,-4.5,0.07423588129328026,0.11136655552920448
181,5.0,9500,-4.5,0.07829478776206358,0.11414165020751646
182,3.5,9750,-4.5,0.07215985240185416,0.11529759559904851
183,4.0,9750,-4.5,0.07311688003330502,0.11249826359329325
184,4.5,9750,-4.5,0.07423588129328026,0.11136655552920448
185,5.0,9750,-4.5,0.07829478776206358,0.11414165020751646
186,3.5,10000,-4.5,0.07215985240185416,0.11529759559904851
187,4.0,10000,-4.5,0.07311688003330502,0.11249826359329325
188,4.5,10000,-4.5,0.07423588129328026,0.11136655552920448
189,5.0,10000,-4.5,0.07829478776206358,0.11414165020751646
190,3.5,3750,-4.0,0.0014565828740421153,0.18297522391831694
191,3.5,4000,-4.0,0.013163446838496507,0.14692279423388005
192,4.0,4000,-4.0,0.009894625849557545,0.14744536558039728
193,4.5,4000,-4.0,0.007251263947529951,0.1552155567372654
194,3.5,4250,-4.0,0.024333272096791814,0.1557369831438623
195,4.0,4250,-4.0,0.01696756863120254,0.14129344693499044
196,3.5,4500,-4.0,0.03919951127897496,0.19811621649117894
197,4.0,4500,-4.0,0.03193472346883706,0.1698691379520453
198,4.5,4500,-4.0,0.023808681822595552,0.15206010819961596
199,5.0,4500,-4.0,0.01730403434342861,0.14153420677937503
200,3.5,4750,-4.0,0.03590115754278517,0.23110213188958537
201,4.0,4750,-4.0,0.03811590669720096,0.1962684098610275
202,4.5,4750,-4.0,0.03281887448253917,0.17183715567221336
203,5.0,4750,-4.0,0.02531961142431982,0.1544048886645888
204,3.5,5000,-4.0,0.07373462898490589,0.18780194684875542
205,4.0,5000,-4.0,0.062435095887496614,0.18922958899184614
206,4.5,5000,-4.0,0.05030292516678137,0.18590058848462263
207,5.0,5000,-4.0,0.04203068054116739,0.17374383805128718
208,3.5,5250,-4.0,0.07679406795820452,0.18757683199232536
209,4.0,5250,-4.0,0.06857935955485217,0.187956995420261
210,4.5,5250,-4.0,0.0590658393272565,0.18719381079755568
211,5.0,5250,-4.0,0.05098431832500147,0.18629625268543917
212,3.5,5500,-4.0,0.07444925116748774,0.19163595196985775
213,4.0,5500,-4.0,0.0687805401528297,0.19250917533828701
214,4.5,5500,-4.0,0.06302511366451162,0.19064431198909254
215,5.0,5500,-4.0,0.056571222066444736,0.18717361065860888
216,3.5,5750,-4.0,0.06948755363070955,0.19662898602986761
217,4.0,5750,-4.0,0.06534942824746548,0.19771851463872536
218,4.5,5750,-4.0,0.0627817389536833,0.19464380486445623
219,5.0,5750,-4.0,0.05802363477920737,0.19105054858468573
220,3.5,6000,-4.0,0.061076081765447765,0.20179320839654236
221,4.0,6000,-4.0,0.058456321870211554,0.2046543938998083
222,4.5,6000,-4.0,0.057728771352606394,0.20281126735231952
223,5.0,6000,-4.0,0.05614241601566232,0.19843890355101426
224,3.5,6250,-4.0,0.05501237553113191,0.2044101221049361
225,4.0,6250,-4.0,0.0535334216095732,0.20811578856747054
226,4.5,6250,-4.0,0.0532965381942372,0.20778274541728034
227,5.0,6250,-4.0,0.05415551437623429,0.20275102094580622
228,3.5,6500,-4.0,0.04544021657730994,0.20748951107062816
229,4.0,6500,-4.0,0.046108177828647144,0.21071608430912805
230,4.5,6500,-4.0,0.04735198963601228,0.21161312508884533
231,5.0,6500,-4.0,0.048286992750992436,0.20952718236798146
232,3.5,6750,-4.0,0.039242657715137984,0.2081078487711915
233,4.0,6750,-4.0,0.04141972780549857,0.21152343284620329
234,4.5,6750,-4.0,0.043846643984205125,0.212392315351787
235,5.0,6750,-4.0,0.04583105700134234,0.21097625315773524
236,3.5,7000,-4.0,0.03203466855873775,0.20749824688007734
237,4.0,7000,-4.0,0.03577897545071455,0.20961569387298112
238,4.5,7000,-4.0,0.03919842342117868,0.21095695025493932
239,5.0,7000,-4.0,0.042141494912963415,0.21068017245224374
240,3.5,7250,-4.0,0.030801067743693362,0.2052119484802237
241,4.0,7250,-4.0,0.03314507301982596,0.2070149610703514
242,4.5,7250,-4.0,0.03671091431413867,0.20858508268881593
243,5.0,7250,-4.0,0.03998310166992008,0.20912767382796965
244,3.5,7500,-4.0,0.02725731806879128,0.1942915349399128
245,4.0,7500,-4.0,0.03269793064847282,0.20054410008935175
246,4.5,7500,-4.0,0.034530177529221114,0.20306714455268418
247,5.0,7500,-4.0,0.0374948081004426,0.204686814405749
248,3.5,7750,-4.0,0.04188179591083284,0.17999942832530008
249,4.0,7750,-4.0,0.030216259762703035,0.19394167552302022
250,4.5,7750,-4.0,0.03479700031988153,0.19802713454689913
251,5.0,7750,-4.0,0.03674628227710649,0.2003650748555651
252,3.5,8000,-4.0,0.07871251679899938,0.13980542771362023
253,4.0,8000,-4.0,0.044154726276700806,0.17639611721683945
254,4.5,8000,-4.0,0.03446271966118253,0.18810781846531344
255,5.0,8000,-4.0,0.03759147947756343,0.19188101833920507
256,3.5,8250,-4.0,0.08136401288694306,0.1258712513621555
257,4.0,8250,-4.0,0.06941040925878715,0.1464836087421334
258,4.5,8250,-4.0,0.039234967159431755,0.17862661420322856
259,5.0,8250,-4.0,0.0402537257507823,0.1841137296035581
260,3.5,8500,-4.0,0.07692237063676417,0.1209586980454835
261,4.0,8500,-4.0,0.07959565178919906,0.11927160996377312
262,4.5,8500,-4.0,0.07177428232512499,0.138147916502147
263,5.0,8500,-4.0,0.04158819238610836,0.17195517197273638
264,3.5,8750,-4.0,0.07474307290576178,0.1185324206490168
265,4.0,8750,-4.0,0.07618607153304366,0.11619009865878582
266,4.5,8750,-4.0,0.08001292158671472,0.1172752406517011
267,5.0,8750,-4.0,0.06560193743527624,0.14414330082724017
268,3.5,9000,-4.0,0.07212417363023586,0.11520449020145257
269,4.0,9000,-4.0,0.07307610397828994,0.11244186867971259
270,4.5,9000,-4.0,0.07419724696131832,0.11132250958945686
271,5.0,9000,-4.0,0.07827662791996605,0.11402071646000567
272,3.5,9250,-4.0,0.07212417363023586,0.11520449020145257
273,4.0,9250,-4.0,0.07307610397828994,0.11244186867971259
274,4.5,9250,-4.0,0.07419724696131832,0.11132250958945686
275,5.0,9250,-4.0,0.07827662791996605,0.11402071646000567
276,3.5,9500,-4.0,0.07212417363023586,0.11520449020145257
277,4.0,9500,-4.0,0.07307610397828994,0.11244186867971259
278,4.5,9500,-4.0,0.07419724696131832,0.11132250958945686
279,5.0,9500,-4.0,0.07827662791996605,0.11402071646000567
