,logg,Teff,Z,aLSM,bLSM
31,5.0,6250,-5.0,0.297478923411337,0.335015119621981
32,3.5,6500,-5.0,0.35379063131828437,0.2880305373935745
33,4.0,6500,-5.0,0.33705099946764205,0.30428630787030514
34,4.5,6500,-5.0,0.3208408853354207,0.3173605958169914
35,5.0,6500,-5.0,0.30357261402374824,0.32816120969929946
36,3.5,6750,-5.0,0.3484057487405536,0.2880482590415111
37,4.0,6750,-5.0,0.334590979164183,0.30154545506419883
38,4.5,6750,-5.0,0.32074627064799377,0.313314350865828
39,5.0,6750,-5.0,0.3061986114948534,0.32348308734184267
40,3.5,7000,-5.0,0.3341075383444373,0.29376120760682334
41,4.0,7000,-5.0,0.32690060581822206,0.30113807639498685
42,4.5,7000,-5.0,0.317472640129485,0.309597269405225
43,5.0,7000,-5.0,0.3054429995013942,0.31836190429229494
44,3.5,7250,-5.0,0.32289797225440714,0.3008335729070747
45,4.0,7250,-5.0,0.31836345251423176,0.30403452838015776
46,4.5,7250,-5.0,0.31204315844524977,0.3097293216163999
47,5.0,7250,-5.0,0.3032149421162432,0.3165272916699259
48,3.5,7500,-5.0,0.3593016772426661,0.24957620869228414
49,4.0,7500,-5.0,0.3029287887220663,0.311549639240386
50,4.5,7500,-5.0,0.299406090641266,0.31403676383314166
51,5.0,7500,-5.0,0.2946708474637495,0.3176373418179895
52,3.5,7750,-5.0,0.3774572641328337,0.25333991596945016
53,4.0,7750,-5.0,0.2964873467014551,0.30394212847767027
54,4.5,7750,-5.0,0.28895326093682744,0.31899076645056484
55,5.0,7750,-5.0,0.2861360155186636,0.3208295989992537
56,3.5,8000,-5.0,0.3743788786483889,0.27697442453973703
57,4.0,8000,-5.0,0.3324140907076997,0.2832633159196615
58,4.5,8000,-5.0,0.2714274808252274,0.3206610844800975
59,5.0,8000,-5.0,0.26916790216795905,0.328614579227538
60,3.5,8250,-5.0,0.37814024333496216,0.26865995953527233
61,4.0,8250,-5.0,0.3370405276931663,0.2937557159215894
62,4.5,8250,-5.0,0.2804677272027932,0.31053178278478255
63,5.0,8250,-5.0,0.25756545155472244,0.3338813044976085
64,3.5,8500,-5.0,0.3471429831511706,0.2804268590130607
65,4.0,8500,-5.0,0.34808932563048994,0.2812546455897399
66,4.5,8500,-5.0,0.29853674101315675,0.31467690349614785
67,5.0,8500,-5.0,0.24671985162165905,0.32724635688289877
68,3.5,8750,-5.0,0.32297999976324543,0.29069963006944
69,4.0,8750,-5.0,0.33675899026585726,0.2801812803376761
70,4.5,8750,-5.0,0.3127158178527416,0.3030749800398956
71,5.0,8750,-5.0,0.25724341954003643,0.33518410713108054
72,3.5,9000,-5.0,0.2943069838371459,0.2991814507655329
73,4.0,9000,-5.0,0.30604805914750016,0.2919768017417181
74,4.5,9000,-5.0,0.3171513711721988,0.28427750102476157
75,5.0,9000,-5.0,0.2795561024112305,0.31852026786609466
76,3.5,9250,-5.0,0.2943069838371459,0.2991814507655329
77,4.0,9250,-5.0,0.30604805914750016,0.2919768017417181
78,4.5,9250,-5.0,0.3171513711721988,0.28427750102476157
79,5.0,9250,-5.0,0.2795561024112305,0.31852026786609466
80,3.5,9500,-5.0,0.2943069838371459,0.2991814507655329
81,4.0,9500,-5.0,0.30604805914750016,0.2919768017417181
82,4.5,9500,-5.0,0.3171513711721988,0.28427750102476157
83,5.0,9500,-5.0,0.2795561024112305,0.31852026786609466
84,3.5,9750,-5.0,0.2943069838371459,0.2991814507655329
85,4.0,9750,-5.0,0.30604805914750016,0.2919768017417181
86,4.5,9750,-5.0,0.3171513711721988,0.28427750102476157
87,5.0,9750,-5.0,0.2795561024112305,0.31852026786609466
88,3.5,10000,-5.0,0.2943069838371459,0.2991814507655329
89,4.0,10000,-5.0,0.30604805914750016,0.2919768017417181
90,4.5,10000,-5.0,0.3171513711721988,0.28427750102476157
91,5.0,10000,-5.0,0.2795561024112305,0.31852026786609466
92,3.5,3750,-4.5,0.2797087275135676,0.35316123534924765
93,3.5,4000,-4.5,0.13106521663337092,0.40374645214883237
94,4.0,4000,-4.5,0.11257961799235154,0.4146590756051493
95,3.5,4250,-4.5,0.15951166979453593,0.3769703704067967
96,4.0,4250,-4.5,0.1138894690335093,0.379206258327615
97,4.5,4250,-4.5,0.09722457100777779,0.3795248782484236
98,3.5,4500,-4.5,0.282761744987484,0.33521949561111614
99,4.0,4500,-4.5,0.19156606238613538,0.35873776060887325
100,4.5,4500,-4.5,0.13612432046215492,0.3603858137159258
101,5.0,4500,-4.5,0.10596860523601957,0.3511159006599528
102,3.5,4750,-4.5,0.35538060267022553,0.32235626851429716
103,4.0,4750,-4.5,0.25886495375283114,0.35218499471197295
104,4.5,4750,-4.5,0.18850969948449753,0.3593998272257152
105,5.0,4750,-4.5,0.13900469263716167,0.3571812802493293
106,3.5,5000,-4.5,0.3283709432164392,0.32005400506688
107,4.0,5000,-4.5,0.30053984295298686,0.3251765712866489
108,4.5,5000,-4.5,0.2556016572607367,0.3365435649589276
109,5.0,5000,-4.5,0.2061221759176107,0.3658977061464743
110,3.5,5250,-4.5,0.33597935184977423,0.3193661977622017
111,4.0,5250,-4.5,0.30939976121944096,0.3296403285840212
112,4.5,5250,-4.5,0.28250232759420846,0.33283485606318014
113,5.0,5250,-4.5,0.24225583833468878,0.3748871239653388
114,3.5,5500,-4.5,0.3459041858539224,0.31251524545872705
115,4.0,5500,-4.5,0.32123302905433504,0.32807563301654424
116,4.5,5500,-4.5,0.2966347627926179,0.3366553765599221
117,5.0,5500,-4.5,0.2695256491059709,0.34168546616688505
118,3.5,5750,-4.5,0.35218581534681415,0.30603366021720074
119,4.0,5750,-4.5,0.3279707978003969,0.3237499421106555
120,4.5,5750,-4.5,0.3054230748511342,0.33400148295793886
121,5.0,5750,-4.5,0.27974887838144896,0.3422341425018086
122,3.5,6000,-4.5,0.3551357261402148,0.2981211690172351
123,4.0,6000,-4.5,0.3331723681146594,0.3168900043755863
124,4.5,6000,-4.5,0.31404752173263195,0.32897058781854477
125,5.0,6000,-4.5,0.2914158393703848,0.33928396607708494
126,3.5,6250,-4.5,0.35644201471808523,0.2924454265181396
127,4.0,6250,-4.5,0.33646423524799696,0.31075861670376764
128,4.5,6250,-4.5,0.31913904455896625,0.32402978973091734
129,5.0,6250,-4.5,0.29788047390955336,0.33491238253103783
130,3.5,6500,-4.5,0.353954136746968,0.28770979147232895
131,4.0,6500,-4.5,0.3368697822838938,0.3040347173153182
132,4.5,6500,-4.5,0.32103757606955224,0.316985540652271
133,5.0,6500,-4.5,0.3037811060202408,0.3278237521028406
134,3.5,6750,-4.5,0.3485059115628721,0.2877620042744506
135,4.0,6750,-4.5,0.33470541360574985,0.301252022070027
136,4.5,6750,-4.5,0.3209276114526582,0.31301366199744957
137,5.0,6750,-4.5,0.3061944020139707,0.3230879446025508
138,3.5,7000,-4.5,0.3341619059651459,0.2935792938296606
139,4.0,7000,-4.5,0.3270051408558707,0.3008974768922773
140,4.5,7000,-4.5,0.3175203855479603,0.3094140083034206
141,5.0,7000,-4.5,0.305564974862311,0.31806073670353513
142,3.5,7250,-4.5,0.32285850976818065,0.3008005474919073
143,4.0,7250,-4.5,0.31823549892068237,0.30404000866881326
144,4.5,7250,-4.5,0.3121048506820693,0.30953121476806217
145,5.0,7250,-4.5,0.3029697472853168,0.3163771134975826
