logg,Teff,Z,aLSM,bLSM
3.5,4000,-5,0.036071636,0.26553970997449705
3.5,4250,-5,0.059539035,0.2643230151479039
4,4250,-5,0.042249374,0.25435710745446916
3.5,4500,-5,0.12268802124227693,0.2783283224393879
4,4500,-5,0.082429141,0.2693857912888985
3.5,4750,-5,0.16769934740124642,0.2857632156194136
4,4750,-5,0.11810057349649743,0.2839907573673888
4.5,4750,-5,0.084026248,0.2727599020752674
3.5,5000,-5,0.1410422416526601,0.2970060725331526
4,5000,-5,0.13427749212064985,0.2851181816057904
4.5,5000,-5,0.11714220698770482,0.27670354618821913
5,5000,-5,0.10096775748465318,0.26441886115727453
3.5,5250,-5,0.14837693534770094,0.29592052001350533
4,5250,-5,0.13763934096948385,0.2946881382701333
4.5,5250,-5,0.1284615827129522,0.28482268518066456
5,5250,-5,0.11808123277898201,0.29675230925277607
3.5,5500,-5,0.15862597530790265,0.28816120185298183
4,5500,-5,0.14916439635854264,0.2921365681748969
4.5,5500,-5,0.13727264463086142,0.29203949827963155
5,5500,-5,0.1257838081260736,0.2869779341843862
3.5,5750,-5,0.1640712287455037,0.2821977826238567
4,5750,-5,0.1549527768244811,0.2872415825816243
4.5,5750,-5,0.14483403501245432,0.28943207127711384
5,5750,-5,0.13232382710607082,0.28922474637927786
3.5,6000,-5,0.16653819628258326,0.27496396212317353
4,6000,-5,0.16007665857972642,0.2802319970859435
4.5,6000,-5,0.15259426545891744,0.2833841909661829
5,6000,-5,0.14154091964754126,0.28637528405185625
3.5,6250,-5,0.1659357510517921,0.2718535408589922
4,6250,-5,0.16144524753172768,0.27587796382013857
4.5,6250,-5,0.1568191468825833,0.2781747449275367
5,6250,-5,0.1464959124117274,0.2820368461895635
3.5,6500,-5,0.16098066194863206,0.26967568824285393
4,6500,-5,0.15929788368502462,0.2719108413773504
4.5,6500,-5,0.15634934745879572,0.27362803033434696
5,6500,-5,0.1505761777721992,0.2759462577619593
3.5,6750,-5,0.15487570291399116,0.27017197075656324
4,6750,-5,0.15460903896272862,0.2713523021700969
4.5,6750,-5,0.15390299050465348,0.2717254844359727
5,6750,-5,0.1514420533775398,0.27224438
3.5,7000,-5,0.142307057,0.2729644892993701
4,7000,-5,0.14483745623598107,0.27196205726639777
4.5,7000,-5,0.14705715922349255,0.2706049505066149
5,7000,-5,0.14722706570729097,0.26982092016922804
3.5,7250,-5,0.13448232736580462,0.2746339194428787
4,7250,-5,0.13697872811572898,0.27284882235787733
4.5,7250,-5,0.14033729874683085,0.2709390655029392
5,7250,-5,0.14276588970002374,0.2690636972097215
3.5,7500,-5,0.13614622075027888,0.2510514137033929
4,7500,-5,0.12516770202655053,0.2735957041477939
4.5,7500,-5,0.12838953606362788,0.2720206089939033
5,7500,-5,0.13255211446922982,0.2696360479066718
