,logg,Teff,Z,aLSM,bLSM
198,4.5,4500,-4.0,0.031591413412988684,0.18212307047231271
199,5.0,4500,-4.0,0.022927041066538756,0.1690464845539299
200,3.5,4750,-4.0,0.04150887169949502,0.2768249971681924
201,4.0,4750,-4.0,0.047241851319324964,0.23572167888970627
202,4.5,4750,-4.0,0.042431004342311694,0.20557513804629912
203,5.0,4750,-4.0,0.03343953508876852,0.18399275563427595
204,3.5,5000,-4.0,0.08610422124866367,0.23610552621586467
205,4.0,5000,-4.0,0.07044608473334364,0.2371154236729216
206,4.5,5000,-4.0,0.059028997880390684,0.22792702613935628
207,5.0,5000,-4.0,0.05045820754087493,0.21097402099187756
208,3.5,5250,-4.0,0.09525050574998377,0.2298596348194797
209,4.0,5250,-4.0,0.08009181374894747,0.23359316213443368
210,4.5,5250,-4.0,0.06698007245570944,0.23227314754689746
211,5.0,5250,-4.0,0.059018815989485066,0.22752737851031699
212,3.5,5500,-4.0,0.09887551144031732,0.22487647182384934
213,4.0,5500,-4.0,0.08836259288091021,0.22876542170935246
214,4.5,5500,-4.0,0.07712306673157866,0.23033891584543206
215,5.0,5500,-4.0,0.06690602078426355,0.22763077370468454
216,3.5,5750,-4.0,0.09512474473316938,0.2252933002087872
217,4.0,5750,-4.0,0.08843350887071873,0.22799070163499666
218,4.5,5750,-4.0,0.0802961046491506,0.22948921635073793
219,5.0,5750,-4.0,0.07098296285379159,0.22865376010124702
220,3.5,6000,-4.0,0.08545513811444395,0.22573224416019647
221,4.0,6000,-4.0,0.08211661928611494,0.22924245845967112
222,4.5,6000,-4.0,0.07869876729154757,0.23049237114049081
223,5.0,6000,-4.0,0.07406914074725722,0.228999379072769
224,3.5,6250,-4.0,0.07737719482192608,0.22606573723307216
225,4.0,6250,-4.0,0.07560515198362583,0.23076186444854063
226,4.5,6250,-4.0,0.07439575546179841,0.23238022679487655
227,5.0,6250,-4.0,0.07263656937721125,0.2306572200365713
228,3.5,6500,-4.0,0.0640941910053872,0.22648713734415465
229,4.0,6500,-4.0,0.0647775599714497,0.2312633337885389
230,4.5,6500,-4.0,0.06588764258242492,0.23417625976007791
231,5.0,6500,-4.0,0.06705573618799536,0.2335779213732038
232,3.5,6750,-4.0,0.05563592155936903,0.225350459568882
233,4.0,6750,-4.0,0.05719717248783514,0.2314848999552775
234,4.5,6750,-4.0,0.0596140205708584,0.23474630315110312
235,5.0,6750,-4.0,0.06248366029974983,0.2348138312764747
236,3.5,7000,-4.0,0.04391510511141244,0.22421681004175453
237,4.0,7000,-4.0,0.04728908438195752,0.22927046345316332
238,4.5,7000,-4.0,0.05115162629449717,0.23318857241301472
239,5.0,7000,-4.0,0.055291410852088795,0.23468974969378395
240,3.5,7250,-4.0,0.03889908566103332,0.22386733517170251
241,4.0,7250,-4.0,0.04219137663007788,0.2268226251768305
242,4.5,7250,-4.0,0.04638041983982477,0.23086920619070317
243,5.0,7250,-4.0,0.050797041904579454,0.23348717500818317
244,3.5,7500,-4.0,0.04164452229445996,0.20439043094006307
245,4.0,7500,-4.0,0.03856749276343142,0.22172777269095295
246,4.5,7500,-4.0,0.041240668902130136,0.2257611984345862
247,5.0,7500,-4.0,0.04525152676895283,0.22968707011423506
248,3.5,7750,-4.0,0.05594695084593737,0.19521493275546428
249,4.0,7750,-4.0,0.03685566369695338,0.21237985601171083
250,4.5,7750,-4.0,0.03958145266604682,0.22182974076089199
251,5.0,7750,-4.0,0.042875592094355236,0.22594610394483955
252,3.5,8000,-4.0,0.08304067057169136,0.17614549961743894
253,4.0,8000,-4.0,0.04928666955636096,0.2008351123622506
254,4.5,8000,-4.0,0.039113639182908416,0.21081987498329985
255,5.0,8000,-4.0,0.0416370305828874,0.21886761770849078
256,3.5,8250,-4.0,0.09225197929650658,0.15622100187128687
257,4.0,8250,-4.0,0.07230314033189585,0.18113113201488362
258,4.5,8250,-4.0,0.04258514681123051,0.20381016348980016
259,5.0,8250,-4.0,0.043126059076261276,0.2126135539700115
260,3.5,8500,-4.0,0.0885358746094569,0.148721856464099
261,4.0,8500,-4.0,0.09242128438460788,0.14669700515087292
262,4.5,8500,-4.0,0.07494177869511055,0.1737176190037217
263,5.0,8500,-4.0,0.045214985250794454,0.1992552624241137
264,3.5,8750,-4.0,0.08665599882015752,0.14508804202486783
265,4.0,8750,-4.0,0.08924372419556398,0.14174006593568236
266,4.5,8750,-4.0,0.09194822908517239,0.14619326220004328
267,5.0,8750,-4.0,0.06799764913832383,0.18055239346039606
268,3.5,9000,-4.0,0.08409525975003375,0.14058855748688037
269,4.0,9000,-4.0,0.0860354002639777,0.13655581402197253
270,4.5,9000,-4.0,0.08935313787220454,0.1346788974632437
271,5.0,9000,-4.0,0.09184143141249407,0.14265530603230941
272,3.5,9250,-4.0,0.08409525975003375,0.14058855748688037
273,4.0,9250,-4.0,0.0860354002639777,0.13655581402197253
274,4.5,9250,-4.0,0.08935313787220454,0.1346788974632437
275,5.0,9250,-4.0,0.09184143141249407,0.14265530603230941
276,3.5,9500,-4.0,0.08409525975003375,0.14058855748688037
277,4.0,9500,-4.0,0.0860354002639777,0.13655581402197253
278,4.5,9500,-4.0,0.08935313787220454,0.1346788974632437
