logg,Teff,Z,aLSM,bLSM
4,7500,-4,0.3824537448748571,0.3152722174981553
4.5,7500,-4,0.3704664540260899,0.32198184090437165
5,7500,-4,0.3571221093066436,0.3312454215249726
3.5,7750,-4,0.45041055795073814,0.2793173806102833
4,7750,-4,0.37533652706649806,0.30987278221161746
4.5,7750,-4,0.35354579901348027,0.33328353648430337
5,7750,-4,0.34273186384559223,0.3392997888793591
3.5,8000,-4,0.4411323275880649,0.30937283346534533
4,8000,-4,0.39145035976651443,0.31539282319888395
4.5,8000,-4,0.32926548926129945,0.341393761
5,8000,-4,0.3166824433683344,0.35462879675676223
3.5,8250,-4,0.44713904833129137,0.30058314369785694
4,8250,-4,0.387374444,0.3352519873310037
4.5,8250,-4,0.3344086928359554,0.33670973310091235
5,8250,-4,0.29907079172235146,0.3646468992452219
3.5,8500,-4,0.4077392686117394,0.31828449877623005
4,8500,-4,0.40359112522345786,0.32017224435803665
4.5,8500,-4,0.3356504530822137,0.3603885042108437
5,8500,-4,0.28515674542279024,0.3604016803414347
3.5,8750,-4,0.3782599249819985,0.33079727772007883
4,8750,-4,0.3908681010459367,0.32018066197183637
4.5,8750,-4,0.35224192604889093,0.34847602263772437
5,8750,-4,0.2837385023638889,0.3808875469120145
3.5,9000,-4,0.3439267484466124,0.34027042995768364
4,9000,-4,0.35314836172132663,0.3350500108741151
4.5,9000,-4,0.36057971669110994,0.3276171262936974
5,9000,-4,0.3044032148826925,0.3685533416015385
3.5,9250,-4,0.3439267484466124,0.34027042995768364
4,9250,-4,0.35314836172132663,0.3350500108741151
4.5,9250,-4,0.36057971669110994,0.3276171262936974
5,9250,-4,0.3044032148826925,0.3685533416015385
3.5,9500,-4,0.3439267484466124,0.34027042995768364
4,9500,-4,0.35314836172132663,0.3350500108741151
4.5,9500,-4,0.36057971669110994,0.3276171262936974
5,9500,-4,0.3044032148826925,0.3685533416015385
3.5,9750,-4,0.3439267484466124,0.34027042995768364
4,9750,-4,0.35314836172132663,0.3350500108741151
4.5,9750,-4,0.36057971669110994,0.3276171262936974
5,9750,-4,0.3044032148826925,0.3685533416015385
3.5,10000,-4,0.3439267484466124,0.34027042995768364
4,10000,-4,0.35314836172132663,0.3350500108741151
4.5,10000,-4,0.36057971669110994,0.3276171262936974
5,10000,-4,0.3044032148826925,0.3685533416015385
3.5,3500,-3.5,0.4720055822319647,0.23025781142328172
3.5,3750,-3.5,0.3776973844872663,0.3042608421435774
4,3750,-3.5,0.3795359423257141,0.31504769489237444
3.5,4000,-3.5,0.27378291254473297,0.37540838283427547
4,4000,-3.5,0.24656272412585986,0.3992187735164005
4.5,4000,-3.5,0.2567583241836245,0.4024599089543915
3.5,4250,-3.5,0.2931746161453974,0.356590728
4,4250,-3.5,0.21548466537613797,0.4025357792356361
4.5,4250,-3.5,0.18756871610062725,0.42027217879651496
3.5,4500,-3.5,0.4302323156098885,0.27923301873967105
4,4500,-3.5,0.2956439981591775,0.3554465314152996
4.5,4500,-3.5,0.21275159196147536,0.3873524102512859
5,4500,-3.5,0.16825369592316286,0.3982056721712695
3.5,4750,-3.5,0.49756087577496855,0.26014703296842484
4,4750,-3.5,0.3743210701327377,0.2995636009771076
4.5,4750,-3.5,0.282623848,0.34736042146921525
5,4750,-3.5,0.20392474629615231,0.38619602636306444
3.5,5000,-3.5,0.5648346354543189,0.23731888491735378
4,5000,-3.5,0.4482308025655476,0.31998054287653444
4.5,5000,-3.5,0.3547875218869905,0.35977878354262804
5,5000,-3.5,0.2806715940011879,0.3772338241088895
3.5,5250,-3.5,0.6123919287561685,0.1974689818011827
4,5250,-3.5,0.49198894577234353,0.30054207933972615
4.5,5250,-3.5,0.39467189468569264,0.3571837231154703
5,5250,-3.5,0.3179636338018076,0.3818243542451469
3.5,5500,-3.5,0.47656537481480504,0.2591733312038696
4,5500,-3.5,0.4365821464819798,0.29034690252181716
4.5,5500,-3.5,0.3983384820727163,0.3128175197733191
5,5500,-3.5,0.35788915770451113,0.3314185790167721
3.5,5750,-3.5,0.4786181992990065,0.25785224223723335
4,5750,-3.5,0.44060183471102055,0.2890507761799219
4.5,5750,-3.5,0.406700898,0.31047802504646516
5,5750,-3.5,0.3703612242440287,0.3287767011888786
3.5,6000,-3.5,0.480685138,0.2535174120061693
4,6000,-3.5,0.44364234471316855,0.28628330898779514
4.5,6000,-3.5,0.41231160543104367,0.3088847264332925
5,6000,-3.5,0.3800309752099907,0.32768243082059595
3.5,6250,-3.5,0.4783334152594323,0.2511927456900576
4,6250,-3.5,0.4436937941115353,0.28297270930885066
4.5,6250,-3.5,0.414505611,0.30767150849122843
5,6250,-3.5,0.3847213642166515,0.32556878821801516
3.5,6500,-3.5,0.47216449731517507,0.2519491641616485
4,6500,-3.5,0.44092624836897243,0.28046070658619904
4.5,6500,-3.5,0.41280532721723934,0.30430835664269723
5,6500,-3.5,0.3862190515534885,0.3229474447572189
3.5,6750,-3.5,0.4628222739700461,0.25662927441177785
4,6750,-3.5,0.4358218831154925,0.280788649
4.5,6750,-3.5,0.4101227532283603,0.30295132417027637
5,6750,-3.5,0.38545156955490734,0.3219755818070975
3.5,7000,-3.5,0.44075743758664615,0.27193189149611313
4,7000,-3.5,0.42212677495455136,0.28727321216256674
4.5,7000,-3.5,0.4013493134402029,0.3045082435889017
5,7000,-3.5,0.37947964536619233,0.32146752899693026
3.5,7250,-3.5,0.4224298936454167,0.28755088931345923
4,7250,-3.5,0.40786267568527457,0.29646823762828317
4.5,7250,-3.5,0.39157638374387094,0.30906126191783695
5,7250,-3.5,0.3729637297591339,0.3234003010760595
3.5,7500,-3.5,0.4434019651237176,0.26610287272110467
4,7500,-3.5,0.3824625195427122,0.31497877826153126
4.5,7500,-3.5,0.3704723742294842,0.3216255739224687
5,7500,-3.5,0.3571645284306242,0.33068635416831693
3.5,7750,-3.5,0.45064927193059157,0.2790706948741009
4,7750,-3.5,0.3755922518110197,0.3094546820875062
4.5,7750,-3.5,0.3535100724576377,0.3330480823771187
5,7750,-3.5,0.3427350322836653,0.3388325210763021
3.5,8000,-3.5,0.4412530360557426,0.3090894639966858
4,8000,-3.5,0.3913058692173437,0.3156993450643093
4.5,8000,-3.5,0.3291024998734186,0.3413102531277912
5,8000,-3.5,0.31664802707569417,0.3543354207660089
3.5,8250,-3.5,0.4469782703544565,0.3004580698805465
4,8250,-3.5,0.38738099415914873,0.3351925917578309
4.5,8250,-3.5,0.33493118189471044,0.3358712241788739
5,8250,-3.5,0.29906864442927295,0.3644318780309187
3.5,8500,-3.5,0.4072556308420699,0.3183783751181122
4,8500,-3.5,0.4035797804260737,0.3198845965598481
4.5,8500,-3.5,0.33590156471151555,0.36004846244985717
5,8500,-3.5,0.28522126857080615,0.36042930338996226
3.5,8750,-3.5,0.37786745934714316,0.33075908695176404
4,8750,-3.5,0.3904741076920045,0.32019512106602965
4.5,8750,-3.5,0.35249976352411827,0.3480756377245812
5,8750,-3.5,0.2838578982798828,0.38073493415835685
3.5,9000,-3.5,0.34366419615903454,0.3400482922319969
4,9000,-3.5,0.35279756398108103,0.3349803588985462
4.5,9000,-3.5,0.3603455994687139,0.327499992
5,9000,-3.5,0.3047575806730535,0.36806216493218225
3.5,9250,-3.5,0.34366419615903454,0.3400482922319969
4,9250,-3.5,0.35279756398108103,0.3349803588985462
4.5,9250,-3.5,0.3603455994687139,0.327499992
5,9250,-3.5,0.3047575806730535,0.36806216493218225
3.5,9500,-3.5,0.34366419615903454,0.3400482922319969
4,9500,-3.5,0.35279756398108103,0.3349803588985462
4.5,9500,-3.5,0.3603455994687139,0.327499992
5,9500,-3.5,0.3047575806730535,0.36806216493218225
3.5,9750,-3.5,0.34366419615903454,0.3400482922319969
4,9750,-3.5,0.35279756398108103,0.3349803588985462
4.5,9750,-3.5,0.3603455994687139,0.327499992
5,9750,-3.5,0.3047575806730535,0.36806216493218225
3.5,10000,-3.5,0.34366419615903454,0.3400482922319969
4,10000,-3.5,0.35279756398108103,0.3349803588985462
4.5,10000,-3.5,0.3603455994687139,0.327499992
5,10000,-3.5,0.3047575806730535,0.36806216493218225
3.5,3500,-3,0.40357618847450033,0.30533310013844306
4,3500,-3,0.4168360744452716,0.3244043148532065
3.5,3750,-3,0.34786533506362377,0.33351980104728607
4,3750,-3,0.33873488371746585,0.3568751717798703
4.5,3750,-3,0.35185625126716413,0.3631373428942857
5,3750,-3,0.39754132804177644,0.341868451
3.5,4000,-3,0.32930503745893946,0.35101505988797393
4,4000,-3,0.2802881974984067,0.38672529365506747
4.5,4000,-3,0.2722539113612868,0.3934308565081619
5,4000,-3,0.2855121044683554,0.38795246338807465
3.5,4250,-3,0.34655890458326705,0.3424870177411963
4,4250,-3,0.25879477183327093,0.3971756432362733
4.5,4250,-3,0.22902053778765688,0.41395935902356407
5,4250,-3,0.2308729303080017,0.41893519640543686
3.5,4500,-3,0.4466967662161621,0.2599572734768762
4,4500,-3,0.33129321067367395,0.33682603498104075
4.5,4500,-3,0.24600137921629187,0.3822718731792184
5,4500,-3,0.19360634004868404,0.4080796177946489
3.5,4750,-3,0.4680802157306073,0.2539323999423495
4,4750,-3,0.3937490228282367,0.297851721
4.5,4750,-3,0.30449029434280217,0.3431940545744737
5,4750,-3,0.2308654011087531,0.37992591380954355
3.5,5000,-3,0.47990004937230435,0.24916216088634044
4,5000,-3,0.42737632784620927,0.2882175009267266
4.5,5000,-3,0.3695456445590709,0.31644963629502504
5,5000,-3,0.30271085411671417,0.3502949157100893
3.5,5250,-3,0.4760507749574323,0.25805514583110367
4,5250,-3,0.4326052008184029,0.2889976545335838
4.5,5250,-3,0.3888427693341892,0.31200225296956474
5,5250,-3,0.33529029363039764,0.3389960812924612
3.5,5500,-3,0.47881802635970677,0.25751796032618773
4,5500,-3,0.43994096931279214,0.2881528105374631
4.5,5500,-3,0.4028896685998234,0.3105651150118983
5,5500,-3,0.3625409010162962,0.3294682134316179
3.5,5750,-3,0.4809255795305227,0.2554194013942272
4,5750,-3,0.4437655957571862,0.2866176848074252
4.5,5750,-3,0.40930754943049164,0.3088810506020735
5,5750,-3,0.3729911014983667,0.32761530543146844
3.5,6000,-3,0.4807773191347163,0.25181912543502527
4,6000,-3,0.4448834420123338,0.2839746365896209
4.5,6000,-3,0.4139984154839729,0.3070763184047756
5,6000,-3,0.38219397945645966,0.3257497913423604
3.5,6250,-3,0.47937975516284587,0.24972115819176446
4,6250,-3,0.44467748355599357,0.2815217571598158
4.5,6250,-3,0.4156020507476197,0.3053918539411471
5,6250,-3,0.38642379755906964,0.3235926421148683
3.5,6500,-3,0.4725468665548043,0.25061499243014024
4,6500,-3,0.44151963996647525,0.27882163470399407
4.5,6500,-3,0.4137386233644001,0.30263488092426155
5,6500,-3,0.3871049632426992,0.3217262396692431
3.5,6750,-3,0.46320268958845723,0.25583975985911406
4,6750,-3,0.4363596127381492,0.2794408696155188
4.5,6750,-3,0.410992512,0.3014287747465999
5,6750,-3,0.3866382039962535,0.3196954056595926
3.5,7000,-3,0.44087005183194083,0.27133607642874913
4,7000,-3,0.4224104398916505,0.2863456723681835
4.5,7000,-3,0.40187929276178974,0.30342170143277547
5,7000,-3,0.38020260738797323,0.32029933940226574
3.5,7250,-3,0.4223585920472954,0.2872245312162107
4,7250,-3,0.407921967,0.29591365791570173
4.5,7250,-3,0.3919071159576366,0.30824386700207795
5,7250,-3,0.3732079801401918,0.3222114201031385
3.5,7500,-3,0.44000728887071316,0.2708457688277974
4,7500,-3,0.38241145562824186,0.31464800405147264
4.5,7500,-3,0.3705268697199578,0.3212345061383946
5,7500,-3,0.357355194,0.3300133587280481
3.5,7750,-3,0.4506670522666086,0.27937769797403084
4,7750,-3,0.37574484441021627,0.30918326452436745
4.5,7750,-3,0.35346341843893025,0.3328448726489206
5,7750,-3,0.34272226992356125,0.3384045147110147
3.5,8000,-3,0.44160713748399877,0.3086759234719339
4,8000,-3,0.3909050034129881,0.3165707357097671
4.5,8000,-3,0.329044672,0.3410668573611748
5,8000,-3,0.3166066209410595,0.3541832162250086
3.5,8250,-3,0.4469056896481897,0.3002606310340306
4,8250,-3,0.38753227925645606,0.33513335802062705
4.5,8250,-3,0.33516189357261134,0.3357043608218322
5,8250,-3,0.2991532401969823,0.3654401644338626
3.5,8500,-3,0.406598163,0.3185679090335243
4,8500,-3,0.4037022995063508,0.31941798655205395
4.5,8500,-3,0.33641920780398765,0.35948933078985373
5,8500,-3,0.28513023193331877,0.361027001
3.5,8750,-3,0.3772837075203795,0.330773483
4,8750,-3,0.3898523340668513,0.3203238363966792
4.5,8750,-3,0.3529430698754142,0.34749486658424344
5,8750,-3,0.2841342723468351,0.3802952334460456
3.5,9000,-3,0.34326734687791666,0.33972912492397644
4,9000,-3,0.3522489078695047,0.33491133062236605
4.5,9000,-3,0.35997121875563576,0.32733908569889886
5,9000,-3,0.30537507268860353,0.3671932817535113
3.5,9250,-3,0.34326734687791666,0.33972912492397644
4,9250,-3,0.3522489078695047,0.33491133062236605
4.5,9250,-3,0.35997121875563576,0.32733908569889886
5,9250,-3,0.30537507268860353,0.3671932817535113
3.5,9500,-3,0.34326734687791666,0.33972912492397644
4,9500,-3,0.3522489078695047,0.33491133062236605
4.5,9500,-3,0.35997121875563576,0.32733908569889886
5,9500,-3,0.30537507268860353,0.3671932817535113
3.5,9750,-3,0.34326734687791666,0.33972912492397644
4,9750,-3,0.3522489078695047,0.33491133062236605
4.5,9750,-3,0.35997121875563576,0.32733908569889886
5,9750,-3,0.30537507268860353,0.3671932817535113
3.5,10000,-3,0.34326734687791666,0.33972912492397644
4,10000,-3,0.3522489078695047,0.33491133062236605
4.5,10000,-3,0.35997121875563576,0.32733908569889886
5,10000,-3,0.30537507268860353,0.3671932817535113
3.5,3500,-2.5,0.3498726703266405,0.35710714
4,3500,-2.5,0.35816586112342985,0.37104951768266975
3.5,3750,-2.5,0.3444708653338039,0.3474549127203406
4,3750,-2.5,0.3117943616057993,0.3786400737857786
4.5,3750,-2.5,0.3235105481796321,0.3868335054300608
3.5,4000,-2.5,0.4275332699192089,0.2945555831796458
4,4000,-2.5,0.33764550041081653,0.3572005899739578
4.5,4000,-2.5,0.2970903438416596,0.3789772784969932
3.5,4250,-2.5,0.477015523,0.27412652764653717
4,4250,-2.5,0.3572367769080197,0.35473620057189786
4.5,4250,-2.5,0.2974661534507919,0.3862941275033135
